Auftragsname,Wörter,Zeit,Von,Sprache,Übersetzung,Korrektur,Kanal,Ablageort,Eingang,Lieferdatum,Deadline,Abteilung,Status,Verantwortlich,Bereich
Neswletter-translations-[Sprache]-ONLINE_STORE_THEME.json,130,,AKU,ES,Alba,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/14/2026,Technical Communication,geliefert,Lbo,
Neswletter-translations-[Sprache]-ONLINE_STORE_THEME.json,130,,AKU,FR,Martine,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/14/2026,Technical Communication,geliefert,Lbo,
Neswletter-translations-[Sprache]-ONLINE_STORE_THEME.json,130,,AKU,IT,Laura,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/14/2026,Technical Communication,geliefert,Lbo,
Neswletter-translations-[Sprache]-ONLINE_STORE_THEME.json,130,,AKU,NL,Angelique,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/13/2026,8/14/2026,Technical Communication,importiert,Lbo,
Filterlisten-translations-[Sprache]-ONLINE_STORE_THEME.json,5677,,CST,EN,Susan,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/18/2026,D2C Ecommerce,,Lbo,
Filterlisten-translations-[Sprache]-ONLINE_STORE_THEME.json,5677,,CST,ES,Alba,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/21/2026,D2C Ecommerce,,Lbo,
Filterlisten-translations-[Sprache]-ONLINE_STORE_THEME.json,5677,,CST,FR,Martine,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/18/2026,D2C Ecommerce,,Lbo,
Filterlisten-translations-[Sprache]-ONLINE_STORE_THEME.json,5677,,CST,IT,Laura,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/18/2026,D2C Ecommerce,,Lbo,
Filterlisten-translations-[Sprache]-ONLINE_STORE_THEME.json,5677,,CST,NL,Angelique,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/21/2026,D2C Ecommerce,ausgecheckt,Lbo,
MyFapp_20260807-de.xml,,30,MZa,DE,Franziska,,jazz,Z:\Produkte\F!Apps\FappMyF\GUI\Android\deutsch\2026.08,8/7/2026,8/7/2026,8/7/2026,User Interface & Clients,zurückgegeben,FSc,
translations--myfosp1--2026-08-10_de.po,509,,MSE,EN,Susan,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
translations--myfosp1--2026-08-10_de.po,509,,MSE,ES,Helena,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
translations--myfosp1--2026-08-10_de.po,509,,MSE,FR,Martine,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
translations--myfosp1--2026-08-10_de.po,509,,MSE,IT,Laura,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
